,text
1 ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
2 ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
3 ham,Send me yetty's number pls.
4 ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
5 ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
6 ham,Hey we can go jazz power yoga hip hop kb and yogasana 
7 ham,Hey mate. Spoke to the mag people. We‰Û÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. 
8 ham,Morning only i can ok.
9 ham,Wat time Ì_ finish?
10 ham,Shant disturb u anymore... Jia you...
11 spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
12 ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
13 ham,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night"
14 spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
15 ham,Unless it's a situation where YOU GO GURL would be more appropriate
16 ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
17 ham,Bring tat cd don forget
18 ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
19 ham,Jay's getting really impatient and belligerent
20 ham,Lol they were mad at first but then they woke up and gave in.
